"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","replicates","is_baseline"
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,79,0.921171970503569,0.838224116279314,0.93047711781889,0.987341772151899,49,0.556962025316456,0.102040816326531,0.6875,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,79,0.933909065814898,0.87425665147833,0.929990262901655,0.987341772151899,44,0.556962025316456,0,0.715447154471545,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-original","Two 25% tails",400,79,0.935644150005915,0.866272077127089,0.935077896786758,0.987341772151899,35,0.443037974683544,0,0.614035087719298,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-NORM","Two 25% tails",400,79,0.887771599826492,0.7396964536114,0.933714703018501,1,7,0.0759493670886076,0.142857142857143,0.13953488372093,0.05,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-partial","Two 25% tails",400,79,0.919476320044166,0.821905042377555,0.921592015579357,0.974683544303797,37,0.417721518987342,0.108108108108108,0.568965517241379,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-EB","Two 25% tails",400,79,0.934145668204582,0.868656454484275,0.918330087633885,0.974683544303797,40,0.506329113924051,0,0.672268907563025,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-original","Unsorted 0-100%",400,79,0.468551599037817,0.19310126421395,0.0896056475170399,0.582278481012658,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-NORM","Unsorted 0-100%",400,79,0.485508103631847,0.189641613868772,0.100851996105161,0.481012658227848,0,0,0,0,0.1,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-partial","Unsorted 0-100%",400,79,0.444339287826807,0.18991080346113,0.151290165530672,0.582278481012658,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-EB","Unsorted 0-100%",400,79,0.441736661540282,0.189301995325362,0.165408958130477,0.582278481012658,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,60,0.929705882352941,0.853402035158294,0.89369269241456,0.983333333333333,49,0.7,0.142857142857143,0.770642201834862,0.1,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,60,0.854607843137255,0.599517512795359,0.86624062239511,0.983333333333333,3,0.05,0,0.0952380952380952,0.05,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,60,0.900980392156863,0.727506593483037,0.903806612948041,0.966666666666667,26,0.383333333333333,0.115384615384615,0.534883720930233,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,60,0.93156862745098,0.848917556010806,0.906418449569325,0.966666666666667,33,0.533333333333333,0.0303030303030303,0.688172043010753,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-original","Two 25% tails",400,60,0.91485294117647,0.830055503353947,0.888746874131703,0.983333333333333,27,0.45,0,0.620689655172414,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-NORM","Two 25% tails",400,60,0.853823529411765,0.591330519659488,0.863684356765768,0.983333333333333,3,0.05,0,0.0952380952380952,0.05,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,3,FALSE
