"analysis_protocol","moi","design","method","nominal_fdr","runs","precision","recall","directional_recall","realized_fdp","realized_fdp_sd","f1","f1_sd","calls"
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",0.003,3,0.997497598497025,0.538304510145509,0.538304510145509,0.00250240150297503,0.00234732139862341,0.69918228275621,0.0101690502615164,1050.33333333333
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",0.01,3,0.993959421889164,0.614356906501511,0.614356906501511,0.00604057811083582,0.0041309453938357,0.759283670803355,0.0096087618014195,1203
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",0.03,3,0.97902154704331,0.693087499992879,0.693087499992879,0.0209784529566902,0.00625019064748077,0.811567998475019,0.00348736606218292,1378
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",0.05,3,0.967535627188525,0.732513068829326,0.732513068829326,0.0324643728114752,0.00805674127622963,0.833707430440359,0.0040333370790572,1473.66666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",0.1,3,0.930118979394172,0.783696768166377,0.783696768166377,0.0698810206058284,0.00404966071854666,0.850624193615063,0.00288916120602266,1640
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",0.2,3,0.850768220169888,0.836785526831515,0.836785526831515,0.149231779830112,0.0137597726764662,0.84364728690323,0.00601653397179698,1914.66666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",1e-06,3,1,0.0320092394139221,0.0320092394139221,0,0,0.0620085162477253,0.00840705250846867,62.3333333333333
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",3e-06,3,1,0.051203382367027,0.051203382367027,0,0,0.0974127042192051,0.0041014959051183,99.6666666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",1e-05,3,1,0.0845928337657713,0.0845928337657713,0,0,0.155982805480705,0.00447152477413229,164.666666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",3e-05,3,1,0.12343055681355,0.12343055681355,0,0,0.21958122940231,0.0204861312622956,240.333333333333
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",1e-04,3,1,0.183196541971579,0.183196541971579,0,0,0.30947383656561,0.0218864171547372,356.666666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",3e-04,3,1,0.244717587175193,0.244717587175193,0,0,0.393185734348836,0.00760834326229156,476.333333333333
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.001,3,0.998946814112691,0.323329051677529,0.323329051677529,0.00105318588730911,0.00182417146663389,0.488526865588653,0.00398509396214696,630
